Id,Start time,Completion time,Email,Name,Interviewer Name,How did you get to this Nonna's today?,"        Just before coming here, where were you?",        Please select the area for your movie/ recreation?,        Please select the area of your shopping?,        Please select your area of work?,        Please select the area your college is located in?,Please select the area you're coming from?,Please specify where in Deccan?,Please specify where in Erandawne?,Please specify where in Kothrud?,Please specify where in Shivajinagar?,Please specify where in Old City?,"After leaving Nonna's today, where are you headed next?",Please select where are you going to?,        Please select the area you're going to for movies/ fun,        Please select the area you're going to for shopping,        Please select the area you're going to for work,        Please select your college area,Please select area in Deccan?,Please select area in Erandawne?,Please select area in Kothrud?,Please select area in Shivajinagar?,Please select area in Old City?,How many people are you here with?,When did you make a decision to eat at Nonna's?,Is it your first time visiting SiNonna's?,How did you discover Nonna's during your first visit?            ,How often do you visit Nonna's in particular?,What was the occasion of your eat out today?,What made you choose Nonna's for eating out?,How many times do you order Nonna's from Swiggy/ Zomato,How did you discover this Nonna's today?,What was the occasion for your visit to Nonna's today?,What brought you to Nonna's today?,How often do you eat out or order food from a restaurant?,How often do you eat out at a Premium/ Fine Dine Restaurant            ,Which of the following best depicts your age?,Gender,Marital Status,Occupation,What vehicle do you or your family own?,Where do you reside currently?,Would you visit Nonna's again in future?
136,6/28/2025 13:59,6/28/2025 14:12,anonymous,,Kd,Auto/ Cab,Sancheti Hospital,,,,,,,,,,,To Home,Pcmc,,,,,,,,,,1,1-3 hours ago,I come here often,Social Media Ad (Instagram/ Facebook),Once every 6 months,Casual Meal,I wanted to try Sourdough Pizza,Never ordered online,,,,Once every 2-3 months,Once every 2-3 months,24-34,Male,Unmarried/ Single,Salaried Professional,We own a 2-wheeler,1 BHK,Yes
137,6/28/2025 14:12,6/28/2025 14:19,anonymous,,Ks,Own Vehicle,Came from Work/ Office,,,Shivajinagar,,,,,,,,To Work/ Office,,,,Shivajinagar,,,,,,,1,0-30 minutes ago,I come here often,Walk-in/ Saw it while passing by,Once a week,Casual Meal,I wanted to try Sourdough Pizza,2-3 times a month,,,,1 time per month,Once every 2-3 months,24-34,Female,Married but no kids,Salaried Professional,We own a 2-wheeler,2BHK,Yes
138,6/28/2025 14:04,6/28/2025 14:24,anonymous,,Kd,Own Vehicle,At Home,,,,,Shivajinagar,,,,Model Colony,,To Home,Shivajinagar,,,,,,,,,,2,Planned yesterday,I come here often,Reservation Apps - DineOut/ Zomato Gold,Once every 6 months,Hangout with Friends,I wanted to try Sourdough Pizza,Once a month,,,,1 time per month,1 time per month,24-34,Male,Unmarried/ Single,Entrepreneur/ Business Owner,We own a car,House,Yes
139,6/28/2025 14:19,6/28/2025 14:26,anonymous,,Ks,Own Vehicle,At Home,,,,,Kothrud,,,MIT College / Anand Nagar,,,To Home,kothrud,,,,,,,MT College / Anand Nagar,,,2,Planned yesterday,I come here often,Friend recommendation ,Once a quarter,"Special Celebration (Birthday, Anniversary)",I wanted to try Sourdough Pizza,Once a quarter,,,,Once every 2-3 months,1 time per month,24-34,Female,Unmarried/ Single,Salaried Professional,We own a car,2BHK,Yes
140,6/28/2025 14:27,6/28/2025 14:30,anonymous,,Kd,Own Vehicle,Watching a movie/ Out for fun,R Deccan,,,,,,,,,,To Home,Deccan,,,,,Prabhat Road/Bhandarkar Road,,,,,1,0-30 minutes ago,First time,,,,,,A friend told me,Date,Nonna's famous Tiramisu,2-3 times a week,2-3 times a week,24-34,Male,Unmarried/ Single,Salaried Professional,We own both,4,Yes
141,6/28/2025 14:31,6/28/2025 14:42,anonymous,,Ks,Own Vehicle,Visiting Friends/ Relatives,,,,,Shivane,,,,,,Shopping,,,FC Road,,,,,,,,3,Planned long back ,I come here often,Friends ,Once a quarter,Hangout with Friends,I wanted to try Sourdough Pizza,Never ordered online,,,,2-3 times a week,1 time per month,24-34,Male,Unmarried/ Single,Salaried Professional,We own a 2-wheeler,2BHK,Yes
142,6/28/2025 14:47,6/28/2025 14:49,anonymous,,Ks,Auto/ Cab,Came from Work/ Office,,,ICC/ Senapati Bapat Road,,,,,,,,Shopping,,,Pavillion Mall,,,,,,,,3,1-3 hours ago,I come here often,Word of Mouth/ Recommendation,Once a month,Casual Meal,Pizza with Drinks sounded like a good combo,Never ordered online,,,,1 time per month,Once every 2-3 months,24-34,Female,Unmarried/ Single,Salaried Professional,None,1 BHK,Yes
143,6/28/2025 14:49,6/28/2025 14:53,anonymous,,Kd,Auto/ Cab,At Home,,,,,Kothrud,,,Mayur Colony / Ideal Colony,,,Shopping,,,FC Road,,,,,,,,2,Planned yesterday,I come here often,Social Media Ad (Instagram/ Facebook),Once a quarter,Hangout with Friends,I wanted to try Sourdough Pizza,Once every 6 months,,,,Once every 2-3 months,Once every 2-3 months,35-44,Female,Married with youngest kid (Above 12),Salaried Professional,We own a car,2BHK,Yes
144,6/28/2025 14:31,6/28/2025 14:53,anonymous,,Kd,Own Vehicle,Visiting Friends/ Relatives,,,,,Hadapsar,,,,,,To Home,Hada,,,,,,,,,,1,0-30 minutes ago,I come here often,Social Media Ad (Instagram/ Facebook),Once every 6 months,Hangout with Friends,.,Once a quarter,,,,Once every 2-3 months,Once every 2-3 months,24-34,Female,Married but no kids,Salaried Professional,We own a 2-wheeler,2BHK,Yes
145,6/28/2025 14:53,6/28/2025 14:56,anonymous,,Kd,Own Vehicle,Visiting Friends/ Relatives,,,,,Old City,,,,,Sadashiv Peth,To Home,Old City,,,,,,,,,,1,Planned long back ,I come here often,Friends ,Once a quarter,Hangout with Friends,I wanted to try Sourdough Pizza,Never ordered online,,,,Once a week,Once every 2-3 months,24-34,Female,Unmarried/ Single,Salaried Professional,We own a 2-wheeler,2BHK,Yes
146,6/28/2025 14:56,6/28/2025 15:01,anonymous,,Ks,Own Vehicle,At Home,,,,,Baner,,,,,,To watch Movie/ Out for fun,,Kothrud ,,,,,,,,,4,Planned yesterday,First time,,,,,,A friend told me,Hangout with friends,Pizza with Drinks sounded like a good option,Once a week,1 time per month,18-24,Male,Unmarried/ Single,Student,We own both,3 BHK,Yes
147,6/28/2025 14:58,6/28/2025 15:06,anonymous,,Kd,Metro/ Train,At Home,,,,,Old City,,,,,Navi Peth,To visit Friends/ Relatives,Deccan,,,,,Prabhat Road/Bhandarkar Road,,,,,3,Planned long back ,I come here often,Walk-in/ Saw it while passing by,2-3 times a month,Casual Meal,I wanted to try Sourdough Pizza,Never ordered online,,,,Almost Everyday,2-3 times a week,35-44,Female,Married but no kids,Entrepreneur/ Business Owner,We own a 2-wheeler,1 BHK,Yes
148,6/28/2025 15:06,6/28/2025 15:16,anonymous,,Kd,Auto/ Cab,Shopping,,FC Road,,,,,,,,,Shopping,,,FC Road,,,,,,,,1,Planned yesterday,I come here often,Word of Mouth/ Recommendation,Once every 6 months,Casual Meal,I wanted to try Sourdough Pizza,Never ordered online,,,,1 time per month,Once every 2-3 months,18-24,Female,Unmarried/ Single,Student,We own both,3 BHK,Yes
149,6/28/2025 15:16,6/28/2025 15:20,anonymous,,Kd,Own Vehicle,At Home,,,,,Sinhgad road,,,,,,To Home,kothrud,,,,,,,Dahanukar Colony / Kothrud Bus Stand,,,5 or more,0-30 minutes ago,I come here often,Word of Mouth/ Recommendation,Once a quarter,"Special Celebration (Birthday, Anniversary)",Pizza with Drinks sounded like a good combo,Never ordered online,,,,1 time per month,1 time per month,18-24,Male,Unmarried/ Single,Student,We own both,2BHK,Yes
150,6/28/2025 15:16,6/28/2025 15:20,anonymous,,Ks,Auto/ Cab,At Home,,,,,Kothrud,,,Dahanukar Colony / Kothrud Bus Stand,,,To Home,kothrud,,,,,,,Dahanukar Colony / Kothrud Bus Stand,,,3,Planned yesterday,First time,,,,,,Reservation Apps - DineOut/ Zomato Gold,Hangout with friends,In need of new place to hangout with frnds ,Once every 2-3 months,Once every 2-3 months,24-34,Male,Unmarried/ Single,Salaried Professional,None,PG,Yes
151,6/28/2025 15:20,6/28/2025 15:28,anonymous,,Ks,Own Vehicle,At Home,,,,,Kothrud,,,Dahanukar Colony / Kothrud Bus Stand,,,To Home,kothrud,,,,,,,Dahanukar Colony / Kothrud Bus Stand,,,2,0-30 minutes ago,First time,,,,,,I was walking by and came in,Casual Meal,I wanted to try Sourdough Pizza ,2-3 times per month,2-3 times per month,24-34,Male,Unmarried/ Single,Salaried Professional,We own both,2BHK,Yes
152,6/28/2025 15:21,6/28/2025 15:31,anonymous,,Kd,Own Vehicle,At Home,,,,,Hinjewadi ,,,,,,To Home,Hinjewadi ,,,,,,,,,,2,Planned yesterday,First time,,,,,,Saw lot of outlets,"Special Celebration (Birthday, Anniversary, etc.)",I wanted to try Sourdough Pizza ,2-3 times a week,2-3 times a week,24-34,Male,Unmarried/ Single,Salaried Professional,We own a car,2BHK,No
153,6/28/2025 15:31,6/28/2025 15:33,anonymous,,Kd,Own Vehicle,Visiting Friends/ Relatives,,,,,Deccan,Deccan,,,,,To Home,Shivajinagar,,,,,,,,,,1,0-30 minutes ago,I come here often,Walk-in/ Saw it while passing by,Once a month,Casual Meal,I wanted to try Sourdough Pizza,Once a quarter,,,,2-3 times per month,2-3 times per month,24-34,Male,Married but no kids,Salaried Professional,We own a car,2BHK,Yes
154,6/28/2025 15:30,6/28/2025 15:35,anonymous,,Ks,Own Vehicle,At Home,,,,,Old City,,,,,Narayan Peth,To Home,Old City,,,,,,,,,,3,Planned yesterday,I come here often,Walk-in/ Saw it while passing by,Once a quarter,Casual Meal,I wanted to try Sourdough Pizza,Never ordered online,,,,2-3 times per month,2-3 times per month,Below 18,Prefer not to say,Married but no kids,Freelancer,We own a 2-wheeler,1 BHK,No
155,6/28/2025 15:33,6/28/2025 15:37,anonymous,,Kd,Own Vehicle,At Home,,,,,Kothrud,,,MIT College / Anand Nagar,,,Shopping,,,FC Road,,,,,,,,2,Planned yesterday,I come here often,Social Media Ad (Instagram/ Facebook),Once every 6 months,Date,I wanted to try Sourdough Pizza,Once every 6 months,,,,Once every 2-3 months,Once every 2-3 months,18-24,Female,Unmarried/ Single,Student,We own a car,,Yes
156,6/28/2025 15:37,6/28/2025 15:43,anonymous,,Kd,Own Vehicle,At Home,,,,,Kothrud,,,,,,To Home,kothrud,,,,,,,,,,2,Planned yesterday,I come here often,Walk-in/ Saw it while passing by,Once a month,Family Outing,I wanted to try Sourdough Pizza,Once a quarter,,,,2-3 times per month,Once every 2-3 months,18-24,Female,Unmarried/ Single,Salaried Professional,We own both,,Yes
157,6/28/2025 15:37,6/28/2025 15:44,anonymous,,Ks,Own Vehicle,Came from Work/ Office,,,Shivajinagar,,,,,,,,To visit Friends/ Relatives,Shivajinagar,,,,,,,,,,4,1-3 hours ago,I come here often,Reservation Apps - DineOut/ Zomato Gold,2-3 times a month,Hangout with Friends,I wanted to try Sourdough Pizza,Once a month,,,,1 time per month,2-3 times per month,24-34,Male,Married but no kids,Salaried Professional,We own both,3 BHK,Yes
158,6/28/2025 15:45,6/28/2025 15:51,anonymous,,Ks,Auto/ Cab,Came from Work/ Office,,,ICC/ Senapati Bapat Road,,,,,,,,To Home,Shivajinagar,,,,,,,,,,1,0-30 minutes ago,First time,,,,,,I was walking by and came in,Casual Meal,I wanted to try Sourdough Pizza ,1 time per month,Once every 2-3 months,18-24,Female,Unmarried/ Single,Student,None,2BHK,Yes
159,6/28/2025 15:44,6/28/2025 15:51,anonymous,,Ks,Auto/ Cab,Shopping,,FC Road,,,,,,,,,To Home,Erandawne,,,,,,Karve Road,,,,2,1-3 hours ago,I come here often,Word of Mouth/ Recommendation,Once a month,Casual Meal,I wanted to try Sourdough Pizza,Never ordered online,,,,Once a week,1 time per month,35-44,Male,Unmarried/ Single,Salaried Professional,None,2BHK,Yes
160,6/28/2025 15:53,6/28/2025 15:56,anonymous,,Ks,Auto/ Cab,Came from Work/ Office,,,Shivajinagar,,,,,,,,To Home,Shivajinagar,,,,,,,,,,2,1-3 hours ago,I come here often,Word of Mouth/ Recommendation,Once a quarter,Casual Meal,Nonna's famous Tiramisu ,Never ordered online,,,,2-3 times per month,2-3 times per month,18-24,Female,Unmarried/ Single,Student,None,1 BHK,Yes
161,6/28/2025 15:51,6/28/2025 16:05,anonymous,,Ks,Own Vehicle,At College,,,,Garware,,,,,,,To Home,Deccan,,,,,Deccan,,,,,5 or more,1-3 hours ago,First time,,,,,,Social Media Ad (Instagram/ Facebook),Casual Meal,Pizza with Drinks sounded like a good option,Once a week,Once every 2-3 months,18-24,Female,Unmarried/ Single,Student,We own a 2-wheeler,1 BHK,No
162,6/28/2025 15:58,6/28/2025 16:06,anonymous,,Ks,Own Vehicle,Watching a movie/ Out for fun,Kothrud ,,,,,,,,,,To Home,kothrud,,,,,,,Mayur Colony / Ideal Colony,,,5 or more,1-3 hours ago,I come here often,Word of Mouth/ Recommendation,Once every 6 months,Hangout with Friends,I wanted to try Sourdough Pizza,Never ordered online,,,,2-3 times a week,1 time per month,24-34,Male,Unmarried/ Single,Salaried Professional,We own a car,2BHK,Yes
163,6/28/2025 16:07,6/28/2025 16:17,anonymous,,Ks,Walking,At College,,,,Fergusson / BMCC,,,,,,,To College,,,,,Fergusson / BMCC,,,,,,1,0-30 minutes ago,I come here often,Word of Mouth/ Recommendation,2-3 times a month,Casual Meal,Nonna's famous Tiramisu ,Never ordered online,,,,Almost Everyday,2-3 times per month,18-24,Female,Unmarried/ Single,Student,We own both,3 BHK,Yes
164,6/28/2025 16:21,6/28/2025 16:31,anonymous,,Ks,Own Vehicle,At Home,,,,,Undri,,,,,,To watch Movie/ Out for fun,,Pavillion Mall,,,,,,,,,3,Planned yesterday,First time,,,,,,Food Blogger/ Influencer,Casual Meal,I wanted to try Sourdough Pizza ,Once a week,1 time per month,24-34,Female,Married with youngest kid (Below 12),Salaried Professional,We own both,2BHK,Yes
165,6/28/2025 16:31,6/28/2025 17:02,anonymous,,Ks,Own Vehicle,Visiting Friends/ Relatives,,,,,Deccan,Deccan,,,,,To Home,Deccan,,,,,Deccan,,,,,1,0-30 minutes ago,First time,,,,,,A friend told me,Casual Meal,I wanted to try Sourdough Pizza ,2-3 times a week,1 time per week,18-24,Male,Unmarried/ Single,Student,We own a 2-wheeler,2BHK,Yes
166,6/28/2025 16:17,6/28/2025 17:07,anonymous,,Ks,Walking,Shopping,,FC Road,,,,,,,,,To Home,Wakad,,,,,,,,,,2,0-30 minutes ago,First time,,,,,,Social Media Ad (Instagram/ Facebook),Casual Meal,I wanted to try Sourdough Pizza ,1 time per month,Once every 2-3 months,24-34,Female,Unmarried/ Single,Student,None,2BHK,Yes
167,6/28/2025 17:07,6/28/2025 17:14,anonymous,,Ks,Own Vehicle,The mountain ,,,,,,,,,,,To watch Movie/ Out for fun,,Pavillion Mall,,,,,,,,,2,0-30 minutes ago,First time,,,,,,A friend told me,"Special Celebration (Birthday, Anniversary, etc.)",I love the alcohol with Pizza offer at Nonna's,Once a week,1 time per month,24-34,Male,Unmarried/ Single,Freelancer,We own a 2-wheeler,2BHK,Yes
168,6/28/2025 17:02,6/28/2025 17:15,anonymous,,Ks,Own Vehicle,Shopping,,Shivaji Nagar,,,,,,,,,To Home,Pimple saudagar ,,,,,,,,,,2,1-3 hours ago,I come here often,Social Media Ad (Instagram/ Facebook),Once a quarter,Casual Meal,I like si nonna's pizza,Never ordered online,,,,2-3 times per month,2-3 times per month,24-34,Male,Unmarried/ Single,Salaried Professional,We own a car,,Yes
169,6/28/2025 17:34,6/28/2025 17:35,anonymous,,Ks,Own Vehicle,At Home,,,,,Shivajinagar,,,,Range Hills,,Shopping,,,FC Road,,,,,,,,3,0-30 minutes ago,I come here often,Word of Mouth/ Recommendation,Once a month,Casual Meal,I wanted to try Sourdough Pizza,Never ordered online,,,,2-3 times a week,1 time per week,18-24,Female,Unmarried/ Single,Student,We own both,3 BHK,Yes
170,6/28/2025 18:09,6/28/2025 18:11,anonymous,,Kd,Own Vehicle,Shopping,,FC Road,,,,,,,,,To Home,Shivajinagar,,,,,,,,,,2,1-3 hours ago,First time,,,,,,Reservation Apps - DineOut/ Zomato Gold,Casual Meal,I wanted to try Sourdough Pizza ,2-3 times per month,1 time per month,18-24,Male,Unmarried/ Single,Entrepreneur/ Business Owner,We own a car,2BHK,Yes
171,6/28/2025 18:12,6/28/2025 18:15,anonymous,,Ks,Metro/ Train,Came from Work/ Office,,,Swargate ,,,,,,,,To watch Movie/ Out for fun,,Sambhaji Park,,,,,,,,,1,0-30 minutes ago,First time,,,,,,A friend told me,Hangout with friends,I wanted to try Sourdough Pizza ,1 time per month,2-3 times per month,18-24,Female,Unmarried/ Single,Student,We own a 2-wheeler,1 BHK,Yes
172,6/28/2025 18:12,6/28/2025 18:35,anonymous,,Kd,Own Vehicle,At Home,,,,,Moshi,,,,,,Shopping,,,FC Road,,,,,,,,3,Planned long back ,I come here often,Word of Mouth/ Recommendation,Once a month,Casual Meal,I love this ambience ,Never ordered online,,,,Once every 2-3 months,1 time per month,24-34,Male,Married but no kids,Salaried Professional,We own a car,Home,Yes
173,6/28/2025 18:36,6/28/2025 18:54,anonymous,,Kd,Own Vehicle,At College,,,,Mnlu,,,,,,,To Home,Old City,,,,,,,,,,1,0-30 minutes ago,I come here often,Walk-in/ Saw it while passing by,Once a month,Hangout with Friends,I wanted to try Sourdough Pizza,Never ordered online,,,,Once a week,1 time per week,24-34,Male,Unmarried/ Single,Student,We own both,3 BHK,Yes
174,6/28/2025 18:54,6/28/2025 19:05,anonymous,,Kd,Auto/ Cab,Shopping,,Pavillion Mall,,,,,,,,,Shopping,,,Pavillion Mall,,,,,,,,3,0-30 minutes ago,First time,,,,,,A friend told me,Hangout with friends,I wanted to try Sourdough Pizza ,Almost Everyday,Once every 2-3 months,18-24,Female,Unmarried/ Single,Student,We own a 2-wheeler,1 BHK,Yes
175,6/28/2025 18:16,6/28/2025 19:09,anonymous,,Kd,Walking,Came from Work/ Office,,,BAJAJ akurdi,,,,,,,,Shopping,,,FC Road,,,,,,,,1,0-30 minutes ago,First time,,,,,,A friend told me,Casual Meal,"I wanted a Pizza, which I saw I. insta, a different kind of regular pizza",2-3 times a week,1 time per month,24-34,Male,Married with youngest kid (Below 12),Salaried Professional,We own both,2BHK,Yes
176,6/28/2025 19:10,6/28/2025 19:31,anonymous,,Ks,Auto/ Cab,Visiting Friends/ Relatives,,,,,Sinhagad road,,,,,,Shopping,,,FC Road,,,,,,,,1,Planned yesterday,First time,,,,,,Social Media Ad (Instagram/ Facebook),Hangout with friends,Pizza with Drinks sounded like a good option,Once a week,1 time per week,Below 18,Female,Unmarried/ Single,Student,We own both,2BHK,Yes
177,6/28/2025 19:05,6/28/2025 19:33,anonymous,,Kd,Own Vehicle,At Home,,,,,Kothrud,,,Mayur Colony / Ideal Colony,,,To Home,kothrud,,,,,,,Mayur Colony / Ideal Colony,,,1,1-3 hours ago,First time,,,,,,A friend told me,Casual Meal,I wanted to try Sourdough Pizza ,Once a week,Once every 2-3 months,18-24,Male,Unmarried/ Single,Student,We own a car,3 BHK,Yes
178,6/28/2025 19:31,6/28/2025 19:34,anonymous,,Kd,Own Vehicle,At Home,,,,,Pcmc ,,,,,,To watch Movie/ Out for fun,,R Deccan,,,,,,,,,2,Planned yesterday,First time,,,,,,A friend told me,Casual Meal,I wanted to try Sourdough Pizza ,Once a week,2-3 times per month,24-34,Prefer not to say,,Entrepreneur/ Business Owner,,,Yes
179,6/28/2025 19:33,6/28/2025 19:42,anonymous,,Ks,Own Vehicle,Watching a movie/ Out for fun,Pavillion Mall,,,,,,,,,,To visit Friends/ Relatives,kothrud,,,,,,,Dahanukar Colony / Kothrud Bus Stand,,,2,1-3 hours ago,First time,,,,,,A friend told me,Casual Meal,I love the alcohol with Pizza offer at Nonna's,2-3 times per month,2-3 times per month,24-34,Male,Married but no kids,Freelancer,We own both,3 BHK,Yes
180,6/28/2025 19:34,6/28/2025 20:02,anonymous,,Kd,Own Vehicle,Came from Work/ Office,,,ICC/ Senapati Bapat Road,,,,,,,,To Home,kothrud,,,,,,,MT College / Anand Nagar,,,2,Planned yesterday,I come here often,Social Media Ad (Instagram/ Facebook),Once a quarter,Date,I wanted to try Sourdough Pizza,Never ordered online,,,,1 time per month,Once every 2-3 months,24-34,Male,Unmarried/ Single,Salaried Professional,We own a 2-wheeler,2BHK,Yes
181,6/28/2025 19:43,6/28/2025 20:04,anonymous,,Ks,Own Vehicle,At Home,,,,,Kothrud,,,MIT College / Anand Nagar,,,To Home,kothrud,,,,,,,MT College / Anand Nagar,,,2,1-3 hours ago,I come here often,Walk-in/ Saw it while passing by,Once every 6 months,Hangout with Friends,I wanted to try Sourdough Pizza,Never ordered online,,,,Once every 2-3 months,Once every 2-3 months,24-34,Male,Unmarried/ Single,Salaried Professional,,,Yes
182,6/28/2025 20:04,6/28/2025 20:14,anonymous,,Ks,Auto/ Cab,At Home,,,,,Kothrud,,,MIT College / Anand Nagar,,,To Home,kothrud,,,,,,,MT College / Anand Nagar,,,2,Planned long back ,First time,,,,,,I was walking by and came in,Family Outing,I wanted to try Sourdough Pizza ,2-3 times per month,2-3 times per month,35-44,Prefer not to say,Married with youngest kid (Below 12),Salaried Professional,We own a car,R,Yes
183,6/28/2025 20:12,6/28/2025 20:16,anonymous,,Kd,Own Vehicle,Watching a movie/ Out for fun,Kothrud,,,,,,,,,,To Home,kothrud,,,,,,,Dahanukar Colony / Kothrud Bus Stand,,,2,1-3 hours ago,First time,,,,,,Reservation Apps - DineOut/ Zomato Gold,Casual Meal,I wanted to try Sourdough Pizza ,2-3 times per month,Once every 2-3 months,24-34,Female,Unmarried/ Single,Salaried Professional,We own both,3 BHK,Yes
184,6/28/2025 20:14,6/28/2025 20:17,anonymous,,Kd,Auto/ Cab,Came from Work/ Office,,,Shivajinagar,,,,,,,,Shopping,,,FC Road,,,,,,,,1,1-3 hours ago,I come here often,Walk-in/ Saw it while passing by,Once a week,Hangout with Friends,Nonna's famous Tiramisu ,Once every 6 months,,,,Almost Everyday,2-3 times a week,18-24,Male,Unmarried/ Single,Salaried Professional,We own a 2-wheeler,3 BHK,Yes
185,6/28/2025 20:25,6/28/2025 20:28,anonymous,,Ks,Own Vehicle,At Home,,,,,Pune,,,,,,To visit Friends/ Relatives,Shivajinagar,,,,,,,,,,5 or more,0-30 minutes ago,First time,,,,,,A friend told me,Hangout with friends,Pizza with Drinks sounded like a good option,Almost Everyday,1 time per week,18-24,Male,Unmarried/ Single,Entrepreneur/ Business Owner,We own both,3 BHK,Yes
186,6/28/2025 20:30,6/28/2025 20:34,anonymous,,Kd,Own Vehicle,At Home,,,,,Erandawne,,Law College Road,,,,To watch Movie/ Out for fun,,Pavillion Mall,,,,,,,,,3,1-3 hours ago,First time,,,,,,A friend told me,Hangout with friends,Nonna's famous Tiramisu,2-3 times a week,1 time per month,24-34,Female,Married with youngest kid (Below 12),Homemaker,,,Yes
187,6/28/2025 20:17,6/28/2025 20:34,anonymous,,Kd,Own Vehicle,Watching a movie/ Out for fun,R Deccan,,,,,,,,,,To watch Movie/ Out for fun,,R Deccan,,,,,,,,,2,0-30 minutes ago,First time,,,,,,Social Media Ad (Instagram/ Facebook),Casual Meal,I wanted to try Sourdough Pizza ,Once a week,1 time per month,24-34,Male,,Entrepreneur/ Business Owner,We own both,,Yes
188,6/28/2025 20:34,6/28/2025 20:37,anonymous,,Kd,Own Vehicle,At Home,,,,,Kothrud,,,MIT College / Anand Nagar,,,To Home,kothrud,,,,,,,MT College / Anand Nagar,,,3,Planned yesterday,First time,,,,,,A friend told me,Family Outing,I wanted to try Sourdough Pizza ,1 time per month,Once every 2-3 months,18-24,Male,Unmarried/ Single,Student,We own a car,3 BHK,Yes
189,6/28/2025 20:37,6/28/2025 20:41,anonymous,,Ks,Own Vehicle,At Home,,,,,Kothrud,,,Dahanukar Colony / Kothrud Bus Stand,,,To Home,kothrud,,,,,,,Dahanukar Colony / Kothrud Bus Stand,,,2,0-30 minutes ago,First time,,,,,,I was walking by and came in,Casual Meal,I wanted to try Sourdough Pizza ,Once a week,1 time per week,24-34,Male,Married but no kids,Salaried Professional,We own both,1 BHK,Yes
190,6/28/2025 20:43,6/28/2025 20:50,anonymous,,Kd,Auto/ Cab,Came from Work/ Office,,,Magarpatta,,,,,,,,To watch Movie/ Out for fun,,Pavillion Mall,,,,,,,,,1,0-30 minutes ago,I come here often,Walk-in/ Saw it while passing by,Once a quarter,Hangout with Friends,Pizza with Drinks sounded like a good combo,Never ordered online,,,,Once a week,1 time per week,18-24,Female,Unmarried/ Single,Salaried Professional,None,2BHK,Yes
191,6/28/2025 20:41,6/28/2025 20:51,anonymous,,Ks,Own Vehicle,Shopping,,Deccan,,,,,,,,,To watch Movie/ Out for fun,,Other,,,,,,,,,4,0-30 minutes ago,First time,,,,,,Google ,Casual Meal,Google search,Once every 2-3 months,Once every 2-3 months,35-44,Male,,Student,,,No
192,6/28/2025 20:55,6/28/2025 20:57,anonymous,,Kd,Own Vehicle,At Home,,,,,Shivajinagar,,,,Senapati Bapat Road,Sadashiv Peth,To Home,Erandawne,,,,,,Law College Road,,,,1,1-3 hours ago,I come here often,Walk-in/ Saw it while passing by,Once a quarter,Hangout with Friends,Pizza with Drinks sounded like a good combo,Never ordered online,,,,2-3 times per month,2-3 times per month,24-34,Male,Unmarried/ Single,Salaried Professional,We own a car,3 BHK,Yes
193,6/28/2025 20:56,6/28/2025 20:58,anonymous,,Kd,Own Vehicle,At Home,,,,,Kothrud,,,Mayur Colony / Ideal Colony,,,To Home,kothrud,,,,,,,Mayur Colony / Ideal Colony,,,3,0-30 minutes ago,First time,,,,,,A friend told me,"Special Celebration (Birthday, Anniversary, etc.)",Pizza with Drinks sounded like a good option,Once a week,2-3 times per month,24-34,Male,Unmarried/ Single,Entrepreneur/ Business Owner,We own both,Bunglow ,No
194,6/28/2025 20:59,6/28/2025 21:08,anonymous,,Ks,Own Vehicle,Shopping,,JM Road,,,,,,,,,To Home,Old City,,,,,,,,,,2,0-30 minutes ago,First time,,,,,,A friend told me,Casual Meal,I wanted to try Sourdough Pizza ,Once every 2-3 months,2-3 times a week,35-44,Male,Married with youngest kid (Above 12),Salaried Professional,We own a car,3 BHK,Yes
195,6/28/2025 20:59,6/28/2025 21:09,anonymous,,Ks,Own Vehicle,At Home,,,,,Kothrud,,,Dahanukar Colony / Kothrud Bus Stand,,,To watch Movie/ Out for fun,,R Deccan,,,,,,,,,2,0-30 minutes ago,First time,,,,,,I was walking by and came in,Casual Meal,I wanted to try Sourdough Pizza ,Once every 2-3 months,Once every 2-3 months,24-34,Female,Married but no kids,Freelancer,We own a 2-wheeler,1 BHK,Yes
196,6/28/2025 21:08,6/28/2025 21:13,anonymous,,Kd,Own Vehicle,Shopping,,FC Road,,,,,,,,,To Home,Hinjewadi,,,,,,,,,,1,1-3 hours ago,First time,,,,,,Social Media Ad (Instagram/ Facebook),Date,I wanted to try Sourdough Pizza ,2-3 times a week,1 time per week,24-34,Male,Unmarried/ Single,Salaried Professional,None,1 BHK,Yes
197,6/28/2025 21:32,6/28/2025 21:33,anonymous,,Ks,Own Vehicle,Shopping,,FC Road,,,,,,,,,To Home,Deccan,,,,,Deccan,,,,,1,0-30 minutes ago,I come here often,Walk-in/ Saw it while passing by,Once a month,Casual Meal,I wanted to try Sourdough Pizza,2-3 times a month,,,,2-3 times a week,2-3 times a week,24-34,Male,Married but no kids,Salaried Professional,We own both,2BHK,Yes
198,6/28/2025 21:33,6/28/2025 21:40,anonymous,,Ks,Own Vehicle,Visiting Friends/ Relatives,,,,,Shivajinagar,,,,Modern College,,To Home,Shivajinagar,,,,,,,,,,1,0-30 minutes ago,I come here often,Walk-in/ Saw it while passing by,Once a month,Casual Meal,I wanted to try Sourdough Pizza,Once every 6 months,,,,2-3 times per month,1 time per month,24-34,Male,Unmarried/ Single,Salaried Professional,We own both,2BHK,Yes
